"article","mention","full_quote","original_name"
"bioj:a2000-42-NATURE","bioj:a2000-42-NATURE-C07-mention","Figures 4c and 6b were generated using O (ref. 44), Fig. 5 in Supplementary Information was made using GRASP (ref. 46), and the rest of the structure figures were made using RIBBONS (ref. 47).","O"
"bioj:a2000-42-NATURE","bioj:a2000-42-NATURE-C08-mention","Figures 4c and 6b were generated using O (ref. 44), Fig. 5 in Supplementary Information was made using GRASP (ref. 46), and the rest of the structure figures were made using RIBBONS (ref. 47).","GRASP"
"bioj:a2000-42-NATURE","bioj:a2000-42-NATURE-C09-mention","Figures 4c and 6b were generated using O (ref. 44), Fig. 5 in Supplementary Information was made using GRASP (ref. 46), and the rest of the structure figures were made using RIBBONS (ref. 47).","RIBBONS"
"bioj:a2000-42-NATURE","bioj:a2000-42-NATURE-C02-mention","SOLVE (ref. 42) found 24 Se sites in the MutS–DNA complex and generated an interpretable electron density map at 2.5A° (see Table 1 in Supplementary Information).","SOLVE"
"bioj:a2000-42-NATURE","bioj:a2000-42-NATURE-C03-mention","The map was further improved using DM (ref. 43).","CCP4."
"bioj:a2000-42-NATURE","bioj:a2000-42-NATURE-C03-mention","The map was further improved using DM (ref. 43).","DM"
"bioj:a2000-42-NATURE","bioj:a2000-42-NATURE-C05-mention","The resulting model was refined against the 2.2A° dataset using CNS (ref. 45).","CNS"
"bioj:a2000-42-NATURE","bioj:a2000-42-NATURE-C05-mention","The resulting model was refined against the 2.2A° dataset using CNS (ref. 45).","Crystallography & NMR system"
"bioj:a2000-42-NATURE","bioj:a2000-42-NATURE-C06-mention","The structure of MutS alone was determined by molecular replacement using CNS.","CNS"
"bioj:a2000-44-SCIENCE","bioj:a2000-44-SCIENCE-C02-mention","Optical density measurements were performed using NIH Image.","NIH Image"
"bioj:a2000-44-SCIENCE","bioj:a2000-44-SCIENCE-C01-mention","Stereological counts and volumes of TH-immunoreactive neurons were performed with NeuroZoom software using the optical dissector method for cell counting and the nu-cleator method for measuring neuronal volume (16).","NeuroZoom"
"bioj:a2001-16-CELL","bioj:a2001-16-CELL-C01-mention","Images were collected on a Bio-Rad MRC 1024 laser scan-ning confocal microscope and processed with NIH-Image1.62 and Adobe Photoshop 5.0.","NIH-Image"
"bioj:a2001-16-CELL","bioj:a2001-16-CELL-C02-mention","Images were collected on a Bio-Rad MRC 1024 laser scan-ning confocal microscope and processed with NIH-Image1.62 and Adobe Photoshop 5.0.","Adobe Photoshop"
"bioj:a2001-40-MOL_ECOL","bioj:a2001-40-MOL_ECOL-C03-mention","For the maximum likelihood (ML) analyses, the best-fit model of nucleotide substitution (TrNef + G) was selected using the hierarchy of likelihood ratio tests implemented in modeltest 3.0 (Posada & Crandall 1998)","Modeltest"
"bioj:a2001-40-MOL_ECOL","bioj:a2001-40-MOL_ECOL-C04-mention","ML analyses were performed with paup 4.03b (Swofford 1998).","PAUP"
"bioj:a2001-40-MOL_ECOL","bioj:a2001-40-MOL_ECOL-C07-mention","Partial least square (PLS) analysis was performed using the PLS option of the package ntsys-pc version 2.2f","NTSYS-pc"
"bioj:a2001-40-MOL_ECOL","bioj:a2001-40-MOL_ECOL-C01-mention","Sequences were deposited in GenBank (Accession nos AF407841–AF408058) and were aligned manually after an initial alignment with the clustal option (Thompson et al. 1994) in the computer program sequencenavigator (Perkin Elmer, Applied Biosystems).","Sequence Navigator"
"bioj:a2001-40-MOL_ECOL","bioj:a2001-40-MOL_ECOL-C02-mention","The 16S sequences were collapsed to haplotypes with the collapse 1.0 tool provided by David Posada (http:// bioag.byu.edu/zoology/crandall_lab). For","COLLAPSE"
"bioj:a2001-40-MOL_ECOL","bioj:a2001-40-MOL_ECOL-C05-mention","The calculations were performed using amova 1.55 (Excoffier et al. 1992).","AMOVA"
"bioj:a2001-40-MOL_ECOL","bioj:a2001-40-MOL_ECOL-C06-mention","These standardized shell morphology variables were used to perform a principal component analysis (PCA) and discriminant analysis (DA), with statistica (StatSoft, Inc. 1995).","Statistica"
"bioj:a2001-50-CELL","bioj:a2001-50-CELL-C01-mention","In (a) and (b), we clustered the original raw data using the Cluster software (Eisen et al., 1998);","Cluster"
"bioj:a2001-50-CELL","bioj:a2001-50-CELL-C02-mention","We captured and analyzed images using a SPOT2e CCD camera (Diag- nostic Instruments, Inc., Sterling Heights, MI) coupled to MetaMorph imaging software (Universal Imaging Corporation, Downingtown, PA).","Metamorph"
"bioj:a2001-50-CELL","bioj:a2001-50-CELL-C04-mention","We captured and analyzed images using a SPOT2e CCD camera (Diagnostic Instruments, Inc., Sterling Heights, Michigan) coupled to MetaMorph imaging software (Universal Imaging Corporation, Downingtown, PA).","Metamorph"
"bioj:a2001-50-CELL","bioj:a2001-50-CELL-C03-mention","We clustered the raw data using the Cluster software (Eisen et al., 1998).","Cluster"
"bioj:a2001-50-CELL","bioj:a2001-50-CELL-C05-mention","We clustered the raw data using the Cluster software (Eisen et al., 1998).","Cluster"
"bioj:a2002-20-CELL","bioj:a2002-20-CELL-C01-mention","After hybridization with a 32 P-labeled exon 2 probe, specific signals were scanned and quantified using NIH image 1.61 software.","NIH image"
"bioj:a2002-39-SYST_BOT","bioj:a2002-39-SYST_BOT-B03-mention","A variety of parameters was explored in the alignment of the ITS sequences performed with the package ClustalX 1,8-PPC (Thomson et al. 1997). The final alignment was adjusted manually, so as to keep the number of the total mutational changes to a minimum (the aligned data matrix can be obtained from the first author upon request). Indels were included in the analyses and coded according to the principles suggested by Simmons and Ochoterena (2000). Substitutions and indels were given equal weight in all phylogenetic analyses.","ClustalX"
"bioj:a2002-39-SYST_BOT","bioj:a2002-39-SYST_BOT-B04-mention","All phylogenies were inferred using the program PAUP* version 4.0b6 (Swofford 2001). Bootstrap analyses based on 1,000 replicates were performed to explore the robustness of the trees. The following options were used for all analyses: parsimony, branch and bound search, stepwise furthest addition sequence, collapse zero-length branches.","PAUP*"
"bioj:a2002-39-SYST_BOT","bioj:a2002-39-SYST_BOT-B01-mention","All sequences were assembled and edited using the Staden package (Staden 1996) and GDE (Smith et al. 1994).","Staden"
"bioj:a2002-39-SYST_BOT","bioj:a2002-39-SYST_BOT-B01-mention","All sequences were assembled and edited using the Staden package (Staden 1996) and GDE (Smith et al. 1994).","Staden sequence analysis"
"bioj:a2002-39-SYST_BOT","bioj:a2002-39-SYST_BOT-B02-mention","All sequences were assembled and edited using the Staden package (Staden 1996) and GDE (Smith et al. 1994).","GDE"
"bioj:a2002-39-SYST_BOT","bioj:a2002-39-SYST_BOT-B02-mention","All sequences were assembled and edited using the Staden package (Staden 1996) and GDE (Smith et al. 1994).","the genetic data environment"
"bioj:a2002-39-SYST_BOT","bioj:a2002-39-SYST_BOT-B05-mention","Bremer support (1994) was calculated using the program Autodecay version 4.0.29 PPC (Eriksson 1998).","Autodecay"
"bioj:a2002-49-NATURE","bioj:a2002-49-NATURE-C02-mention","An excel spreadsheet for these calculations is available from JED.","Excel"
"bioj:a2002-49-NATURE","bioj:a2002-49-NATURE-C01-mention","Background corrections for the carbonate bands were performed on reference-subtracted spectra using interactive baseline and curve-fitting routines available in the OPUS software on the Brüker IFS-66 infrared spectrometer.","OPUS"
"bioj:a2003-22-CR_BIOL","bioj:a2003-22-CR_BIOL-C02-mention","The dynamic modelling of the flux, the interme-diates metabolites and the flux control coefficient de-terminations have been done with the SCAMP (Sim-ulation, Control Analysis, Modelling Package) soft-ware developed by Sauro and Fell [13–16].With this software, the flux control coefficients and the over-all flux response coefficient to an inhibitor are deter-mined by numerical perturbations of the enzyme ac-tivities or inhibitor concentration respectively and re-calculation of the corresponding steady state over a specified range of inhibitor concentrations. The pro-gram also allows calculation of enzyme elasticity with respect to the inhibitors, and partial response coefficients (the product of an enzyme’s flux con-trol coefficient and elasticity with respect to an in-hibitor) [6] in order to assess the relative contribu-tion of each enzyme to the total response to the in-hibitor.","SCAMP"
"bioj:a2003-39-J_COMPUT_AID_MOL_DES","bioj:a2003-39-J_COMPUT_AID_MOL_DES-B01-mention","A range of different approaches have been used; for instance FEP [4–6], LIEA [7, 8] and empirical methods such as QSAR [9], CoMFA [10, 11], ‘master equation’ approaches [12–14], total energy correlation [15], ‘knowledge-based’methods [16–19] and methods like CScore [20] and X-Score [21] which combine different approaches.","CScore"
"bioj:a2003-39-J_COMPUT_AID_MOL_DES","bioj:a2003-39-J_COMPUT_AID_MOL_DES-B02-mention","A range of different approaches have been used; for instance FEP [4–6], LIEA [7, 8] and empirical methods such as QSAR [9], CoMFA [10, 11], ‘master equation’ approaches [12–14], total energy correlation [15], ‘knowledge-based’methods [16–19] and methods like CScore [20] and X-Score [21] which combine different approaches.","X-Score"
"bioj:a2003-39-J_COMPUT_AID_MOL_DES","bioj:a2003-39-J_COMPUT_AID_MOL_DES-B03-mention","Figure 1. Structures of the protease inhibitors used (see Table 2). The two-dimensional co-ordinates were generated using the cactus online smiles translator [81].","cactus online smiles translator"
"bioj:a2003-39-J_COMPUT_AID_MOL_DES","bioj:a2003-39-J_COMPUT_AID_MOL_DES-B05-mention","For comparison, we also computed the inhibition strength of the 53 compounds from our dataset with X-Score [21]. X-Score is a general scoring function and is freely available upon request from its authors. It is derived through multivariate regression analysis of 200 protein–ligand complexes.We applied X-Score to the inhibitor-consensus pocket complexes.","X-Score"
"bioj:a2003-39-J_COMPUT_AID_MOL_DES","bioj:a2003-39-J_COMPUT_AID_MOL_DES-B04-mention","Nevertheless, the 4HVP ligand seems difficult to predict regardless of the compu- tational method used, as it is also mispredicted in three of the four scoring functions employed inCScore [20].","CScore"
"bioj:a2003-44-BBA-GEN_SUBJECTS","bioj:a2003-44-BBA-GEN_SUBJECTS-B06-mention","Models were obtained with the Swiss-Pdb Viewer using the Ag5 from V. vulgaris as a template.","Swiss-Pdb Viewer"
"bioj:a2003-44-BBA-GEN_SUBJECTS","bioj:a2003-44-BBA-GEN_SUBJECTS-B03-mention","Models were visualized and compared with Swiss-Pdb Viewer [42,43].","ProMod"
"bioj:a2003-44-BBA-GEN_SUBJECTS","bioj:a2003-44-BBA-GEN_SUBJECTS-B03-mention","Models were visualized and compared with Swiss-Pdb Viewer [42,43].","Swiss-Model"
"bioj:a2003-44-BBA-GEN_SUBJECTS","bioj:a2003-44-BBA-GEN_SUBJECTS-B03-mention","Models were visualized and compared with Swiss-Pdb Viewer [42,43].","Swiss-Pdb Viewer"
"bioj:a2003-44-BBA-GEN_SUBJECTS","bioj:a2003-44-BBA-GEN_SUBJECTS-B01-mention","The alignments of allergen sequences from different species and genera of vespids were made using the CLUSTAL W program at http://www.ebi.ac.uk/clustal (the European Bioinformatics Institute); and they were used to construct a Phylip phylogenetic tree [39].","CLUSTAL W"
"bioj:a2003-44-BBA-GEN_SUBJECTS","bioj:a2003-44-BBA-GEN_SUBJECTS-B01-mention","The alignments of allergen sequences from different species and genera of vespids were made using the CLUSTAL W program at http://www.ebi.ac.uk/clustal (the European Bioinformatics Institute); and they were used to construct a Phylip phylogenetic tree [39].","Treeview."
"bioj:a2003-44-BBA-GEN_SUBJECTS","bioj:a2003-44-BBA-GEN_SUBJECTS-B04-mention","The tree was obtained by the alignment of Ag5 sequences from various Vespidae. It was obtained with the TreeView plot program using the data from the ClustalW alignment employing the neighbour joining (NJ) method.","TreeView"
"bioj:a2003-44-BBA-GEN_SUBJECTS","bioj:a2003-44-BBA-GEN_SUBJECTS-B05-mention","The tree was obtained by the alignment of Ag5 sequences from various Vespidae. It was obtained with the TreeView plot program using the data from the ClustalW alignment employing the neighbour joining (NJ) method.","ClustalW"
"bioj:a2003-44-BBA-GEN_SUBJECTS","bioj:a2003-44-BBA-GEN_SUBJECTS-B02-mention","Three-dimensional structure of Ag5 was modeled using Swiss-Model system [40]. The crystal structure of Vespula vulgaris Ag5 (Protein Databank 1QNX) was used as a template [41].","SWISS-MODEL"
"bioj:a2003-44-BBA-GEN_SUBJECTS","bioj:a2003-44-BBA-GEN_SUBJECTS-B02-mention","Three-dimensional structure of Ag5 was modeled using Swiss-Model system [40]. The crystal structure of Vespula vulgaris Ag5 (Protein Databank 1QNX) was used as a template [41].","Swiss-Model"
"bioj:a2003-44-BBA-GEN_SUBJECTS","bioj:a2003-44-BBA-GEN_SUBJECTS-B02-mention","Three-dimensional structure of Ag5 was modeled using Swiss-Model system [40]. The crystal structure of Vespula vulgaris Ag5 (Protein Databank 1QNX) was used as a template [41].","Swiss-PdbViewer"
"bioj:a2003-44-SCIENCE","bioj:a2003-44-SCIENCE-C02-mention","Furthermore, alignment of the Brassica, rice, or wheat ESTs within the IGRs identified an additional 1042 transcription-ally active regions (BLAST e-value < 10 -25, Fig. 1B).","BLAST"
"bioj:a2003-44-SCIENCE","bioj:a2003-44-SCIENCE-C03-mention","The Phred/Phrap/Consed (2-4) suite of programs was used to assemble sequence reads and perform “finishing” of the assembled sequences.","Phred/Phrap/Consed"
"bioj:a2003-44-SCIENCE","bioj:a2003-44-SCIENCE-C11-mention","The creation of new software capable of both visualizing and analyzing the genome tiling arrays was necessary since the concept of genome tiling arrays has not yet been commercialized by Affymetrix. Software capable of chip image deconvolution was developed. The ChipViewer program uses an input file of tiling chip probe information and (x,y) coordinates and multiple CELTM files (containing experimental hybridization data), and produces an output file which contains ordered data for each probe on the chip. Then it sorts the probes of each segment into the actual sequence order of the segment. As output, it generates a file (and a deconvoluted chip image) which lists the intensity values for each probe. The program displays the chip hybridization signals along with various “tracts” including the gene annotation, alongside the full-length cDNA annotation for each corresponding genome segment being interrogated on a tiling chip.
	Furthermore, intensity statistics for arbitrary features located on a chip, such as annotated genes and intergenic clusters were computed. Hybridization data were normalized by dividing each probe intensity value in a given experiment by the median intensity value of all probes in that experiment (including PM, MM, and control probes on the chip). The median intensity value of all probes were determined to be a good estimate of the background noise level in a given experiment. Initially we tested the pilot chips and visualization software by hybridizing the arrays with RNA prepared from a single gene. In vitro RNA from an RAFL cDNA clone was synthesized, labeled with biotin and hybridized to one of the four tiling arrays (Fig. S23). Analysis of the hybridization signals using all of the oligos for a particular gene or only the even or odd numbered oligos (Fig. S23), indicate that the gene structures predicted by the visualization software yields the same gene model whether all of the oligos or only the even/odd oligos are used for the prediction. These studies indicated that a genome-wide end-to-end tile of oligos will be equally effective and more space efficient than the overlapping probe design produced for the pilot tiling chips.","ChipViewer"
"bioj:a2003-44-SCIENCE","bioj:a2003-44-SCIENCE-C01-mention","This analysis suggests that 45% of the ANE Arabidopsis genes are transcriptionally active [BLAST e-value < 10 -25,(22)] (Fig. 1A).","BLAST"
"bioj:a2003-44-SCIENCE","bioj:a2003-44-SCIENCE-C07-mention","To compare the nucleotide sequences of this second query set to protein databases, BLASTX was used; BLASTN was used for nucleotide databases.","BLASTX"
"bioj:a2003-44-SCIENCE","bioj:a2003-44-SCIENCE-C08-mention","To compare the nucleotide sequences of this second query set to protein databases, BLASTX was used; BLASTN was used for nucleotide databases.","BLASTN"
"bioj:a2003-44-SCIENCE","bioj:a2003-44-SCIENCE-C04-mention","Using the predicted protein as a query sequence, cDNA clone annotation was verified by searching each sequence against a database of the annotated Arabidopsis proteins, Ceres, and community-sequenced full-length cDNAs (CFL) using BLAST (5).","BLAST"
"bioj:a2003-44-SCIENCE","bioj:a2003-44-SCIENCE-C05-mention","We compare the protein sequences of these genes to proteins from other species using BLASTP while TBLASTN was used for analysis of mRNA and EST sequences.","BLASTP"
"bioj:a2003-44-SCIENCE","bioj:a2003-44-SCIENCE-C06-mention","We compare the protein sequences of these genes to proteins from other species using BLASTP while TBLASTN was used for analysis of mRNA and EST sequences.","TBLASTN"
"bioj:a2003-49-J_MOL_NEUROSCI","bioj:a2003-49-J_MOL_NEUROSCI-C01-mention","The numbers of TH-immunoreactive cells in the sub-stantia nigra pars compacta (SNpc) were counted using the optical fractionator method in the Stereo Investigator (v. 4.35) software program (Micro-brightfield, Burlington, VT).","Stereo Investigator"
"bioj:a2004-12-J_INFECT_DIS","bioj:a2004-12-J_INFECT_DIS-C01-mention","All statistical analyses were performed by use of Statistical Analysis Software (version 6.12; SAS Institute).","Statistical Analysis Software"
"bioj:a2004-25-J_THERM_BIOL","bioj:a2004-25-J_THERM_BIOL-B02-mention","Data were subjected to analysis of variance (one way ANOVA) and to Student’s t test,by means of the JMPs software (SAS institute,2000). Hatchability was analyzed with the chi-square test. A combined analysis of hatchability of the three trials was made by Mann and Whitney test. Means were considered significantly different at P<=.05:","JMP(R)"
"bioj:a2004-25-J_THERM_BIOL","bioj:a2004-25-J_THERM_BIOL-B01-mention","In the first two trials,200 eggs were weighed and statistically divided according to JMP(R) statistics (SAS Institute,2000) into 10 groups of 10 eggs in each treatment.","JMP(R)"
"bioj:a2004-40-NAT_GENET","bioj:a2004-40-NAT_GENET-C02-mention","position on the current Ensembl mouse genomic assembly is shown","Ensembl"
"bioj:a2004-40-NAT_GENET","bioj:a2004-40-NAT_GENET-C01-mention","we narrowed the intervals for Dsk1 and Dsk7 to 2.6 Mb and 1.8 Mb, respectively (according to Ensembl v5.3.1; ref. 6)","Ensembl"
"bioj:a2004-44-DEV_CELL","bioj:a2004-44-DEV_CELL-C01-mention","Images were processed for presentation us-ing Adobe Photoshop.","Adobe Photoshop"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C07-mention","*R-factor=[FORMULA DID NOT COPY] where h are the unique reflection indices, Fo are the observed structure factors and Fc are the structure factors obtained from inversion of the solvent-flattened map (SHELLSCALE; D.I.S., unpublished program).","SHELLSCALE"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C16-mention","A 2Fo - Fc map was calculated for each cell type (to 4.2A resolution) with the corresponding model phases, which were then refined by iterative solvent flattening and 60-fold averaging; Fc was calculated from the starting model or from Fourier transformation of the modified map (see Table 2) (program GAP; D.I.S. and J.M.G., unpublished program, and CCP4 programs [42]
).","GAP"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C17-mention","A 2Fo - Fc map was calculated for each cell type (to 4.2A resolution) with the corresponding model phases, which were then refined by iterative solvent flattening and 60-fold averaging; Fc was calculated from the starting model or from Fourier transformation of the modified map (see Table 2) (program GAP; D.I.S. and J.M.G., unpublished program, and CCP4 programs [42]
).","CCP4"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C21-mention","All structures were brought into conformity with expected backbone conformations and side chains were built with program CALPHA [48].","CALPHA"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C09-mention","Although postulated to have an analogous function [31], polypeptide IIIa is larger than expected for a P30 homologue and is a less attractive candidate than polypeptide VIII, which is proline-rich, is almost exactly the expected length (110 residues) and possesses an N-terminal sequence that PONDR [21] predicts to be disordered. The","PONDR"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C20-mention","Analysing the relative positions of methionine residues and predicted transmembrane helices (program TMHMM [47])","TMHMM"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C22-mention","Correlation coefficient = Σh(<|Fo|h>-|Fo|h)(<|Fc|h>-|Fc|h)/Σh[(<|Fo|h>-|Fo|h)2-(<|Fc|h>-|Fc|h)2]1/2 where h are the unique reflection indices, Fo are the observed structure factors and Fc are the structure factors obtained from inversion of the solvent-flattened map (SHELLSCALE; DIS, unpublished program).","SHELLSCALE"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C11-mention","Data were analysed with DENZO [41]
and the resolution limit was determined with TRIM_DENZO (D.I.S., unpublished program).","TRIM_DENZO"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C10-mention","Data were analysed with DENZO [41] and the resolution limit was determined with TRIM_DENZO (D.I.S., unpublished program).","DENZO"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C12-mention","Data were scaled with a special version of SCALEPACK [41].","SCALEPACK"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C13-mention","For the native data
and SeMet data, reflections with fractional partialities of 0.7 or more and 0.5, respectively, were scaled to full intensity and incorporated into the data set as fully recorded reflections (program POST: D.I.S. and J.M.D., unpublished program).","POST"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C14-mention","Intensities were converted to structure factor amplitudes with TRUNCATE [42].","TRUNCATE"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C02-mention","P31 resembles half of a P3 subunit and can be superposed almost equally well on either of the P3 jellyrolls (82 and 83 C atoms superposed for domains 1 and 2, respectively, in each case with an r.m.s. deviation of 2.9A as determined with program SHP [22] ), although there is no sequence similarity between them.","SHP"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C03-mention","PREDATOR","PREDATOR"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C05-mention","Secondary structure elements of our P16 model (red), secondary structure prediction (PREDATOR [49], green) and transmembrane helix prediction (TMHMM [47], brown), aligned with the amino acid sequence (amino acids visible in the electron density are in red).","PREDATOR"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C06-mention","Secondary structure elements of our P16 model (red), secondary structure prediction (PREDATOR [49], green) and transmembrane helix prediction (TMHMM [47], brown), aligned with the amino acid sequence (amino acids visible in the electron density are in red).","TMHMM"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C04-mention","TMHMM","TMHMM"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C19-mention","The P3 N- and C-terminal regions were built into the averaged map of cell 2 by using O [46].","O"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C18-mention","The SeMet and native cell 1 data were scaled in resolution shells with the use of SHELLSCALE (D.I.S., unpublished program).","SHELLSCALE"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C01-mention","The molecule is rich in proline residues (13%) and analysis of its amino acid sequence with PONDR [21] indicates that in the absence of other viral components at least the N-terminal half of the subunit would be disordered.","PONDR"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C15-mention","The position and orientation of this model were refined against the experimental data using X-PLOR 3.1 (ref. 43). This was performed separately for data from the cell 1 and cell 2 crystal forms. An initial estimate of the particle orientation was obtained from the self-rotation function calculated from the cell 1 data set. Patterson correlation refinement [44]
was performed against 60–15-A resolution data to optimize the orientation (final correlation coefficient (cc) of 0.021 for cell 1 and 0.027 for cell 2). The position and orientation of the particle were then refined at 30A with the E1E1 target function [43] (cc = 0.196 for cell 1, 0.195 for cell 2), giving an initial set of non-crystallographic symmetry (NCS) operators for the two cell types. P3 trimers inside the icosahedral asymmetric unit were refined at 6A resolution and NCS operators were re-refined at 8A resolution [43] (cc = 0.375 for cell 1, 0.546 for cell 2). Further refinement of the trimer positions and the NCS operators with data to 5A gave final correlation coefficients of 0.230 and 0.423 for cell 1 and cell 2, respectively.","X-PLOR"
"bioj:a2004-46-NATURE","bioj:a2004-46-NATURE-C08-mention","†Correlation coefficient =[FORMULA DID NOT COPY] where h are the unique reflection indices, Fo are the observed structure factors and Fc are the structure factors obtained from inversion of the solvent-flattened map (SHELLSCALE; D.I.S., unpublished program)","SHELLSCALE"
"bioj:a2005-12-NAT_BIOTECHNOL","bioj:a2005-12-NAT_BIOTECHNOL-C01-mention","The average intensities were analyzed by the MetaMorph software (Meta Imaging Series, version 6.1) from Universal Imaging Corporation and the average grade level was used as the unit of fluorescence intensity in tissues.","MetaMorph"
